ID,Field 05 - ICT role in Museums and Exhibition Design,Timestamp,General Institution / Organisation Information,Name of the Institution / Organisation,Country,City,Type of Institution (as many as apply),Field of Activity (as many as apply),Focus of Institution (as many as apply),Year,Links,Principal Partner,Interested Partner,Links - for partners only,Field 05 - Exhibition / Installation Information,Name,Topic,Year,Name / contact of curator / organiser,Links,Field 05 - Information and Communication Technologies,Description,Focus of technology,Location of Technology Use,Time of Technology Use,Type of Media Exhibited,Actions and Mechanics of Interaction,Target Group,Why is it of interest for MeLA's Research Field 05?,Impact - User perspective,Impact - Institution / Organisation perspective,Field 05 - Categorization - User Experience,Audience Involvment,Audience Engagement,Audience Perception,Exhibition Elements,Technology Metaphor,Field 05 - Categorization - Intended purpose of the ICT and Technology within the project or application,Identity Construction,Representation,Conception of Cultural Representations,Audience of Cultural Representations,Multinationalism,Contemporaneousness,Provocativeness,Stance
,"Please use it to record project references where interpretation, learning, experience and/or participation are enabled through information and communications technologies.",,,,,,,,,"For exhibitions, year in which the exhibition was design and set up. For Museums, Archives and Cultural Institutions, year in which the museum/cultural institution was established.",Online references to the Museum.,Partner who input the case,Partner who is interested in the case,For MeLA internal use,,"Designation for the project, application, or exhibition.",,Year that the project was completed and launched.,"If the project was initiated within an institution by a secondary party such as an independent curator, design consultancy or artist, you may include a reference to it here.","Online references to the project. Please include a minimum of one link to an official project description and documentation. Feel free to include additional user documentation (flickr, YouTube, Vimeo), or other secondary references where available.",,"A short text description of the project. This should describe the concept of the project, the intended experience of the audience/user, and how information and communication technologies were used.","The primary technological emphasis of the project application. This should reflect the intention of the host institution/organisation, if apparent or explicitly stated. Otherwise, please interpret the project's intention, and give your own impression.",Where is the technology employed?,When is the technology employed?,,What are the interactions available (mechanics) and how are they structured (models).,,"Please use this section to highlight what is important (a major institution developing a project of significance), novel (does it mark the first application of a technology or approach?), or interesting (any reflections you might have regarding the contextual appeal of the project) about this particular project.","Based on project descriptions or first hand experience of the design or application, what is the intended or actual overall effect of the project on its audience or users?","Based on project descriptions or first hand experience of the design or application, what is the intended or actual overall effect of the project on the institution or organisation?",,"Please rate the project in terms of how much interaction (physical or otherwise) it expects or requires. If the project seems to have little or no emphasis in this regard, please mark it as a ""3"".","Please rate the project in terms of how physical or cognitively engaging it is intended to be. We place in opposition here tendencies towards 'artistic' or 'interpretive' forms, versus more informational, pedagogic or didactic strategies. If the project seems to have little or no emphasis in this regard, please mark it as a ""3"".",What is the main approach employed to support meaning making through technology,"Please rate the project as to its predominantly physical, bodily and situated applications (1), as opposed to digital, simulated, distributed features (5). If the project seems to have little or no emphasis in this regard, please mark it as a (3).","Please rate the project in terms of the facility it gives audiences or users to explore or 'probe' an informational or factual landscape (1). This is juxtaposed to a tendency to use technologies to help situate users or audiences within this same landscape or field (5). If the project seems to have little or no emphasis in this regard, please mark it as a (3).",,"With regard to the opinions, experience or narratives reflected, the museum/exhibition/project propose:","Please rate the project in terms of the intention or actuality to project the views, histories, artifacts or particulars of a marginalised, minority or little know outlook or approach. If the project seems to have little or no emphasis in this regard, please mark it as a ""3"".",Actors involved in the conception of representations,To whom is the representation predominantly addressed,Which attitude towards heritage does the case propose,Is the museum/exhibition/project linked to issues of contemporary socio-cultural importance?,Is the museum/exhibition/project exposing frictions or challenges to its audience.,"Please rate the project in terms of the degree to which it attempts to become an ""agent for change,"" putting forward a new, challenging or provocative worldview. If the project seems to have little or no emphasis in this regard, please mark it as a ""3""."
ID,,DATE,,TEXTFIELD,COUNTRYLIST,TEXTFIELD,CHECKBOX,CHECKBOX,CHECKBOX,TEXTFIELD,TEXTAREA,LIST,LIST,TEXTAREA,,TEXTFIELD,RADIO,TEXTFIELD,TEXTFIELD,TEXTAREA,,TEXTAREA,RADIO,CHECKBOX,CHECKBOX,CHECKBOX,TEXTAREA,RADIO,TEXTAREA,TEXTAREA,TEXTAREA,,RADIO,RANGE,CHECKBOX,RANGE,RANGE,,RADIO,RADIO,RADIO,RADIO,RADIO,RADIO,RADIO,RANGE
,,,,,,,Archive|Cultural Institution|Exhibition|Museum|Other:,Art|Archeology|Social History|Ethnography|Natural Science|Other:,"National, History and Art Museums|Contemporary Art|Local|Science and Technology|Postcolonial|Mass-culture|People (biographical)|Other:",,,CIID|CNR|GU|MACBA|MHNH|POLIMI|RCA|UNEW|UNO,CIID|CNR|GU|MACBA|MHNH|POLIMI|RCA|UNEW|UNO,,,,"Migration|City contexts|Nation contexts|Europe|Identity (religious, political, etc.)|Ethnography|Archaeology|Difficult Heritage/Memory|Contemporary Art|Community/Neighbourhood contexts|Other:",,,,,,"Interpretation - (curatorial tool, catalogue) - key function of technologies is to help in the exposition of existing informational platforms|Featured - (exhibited) - novel or a novel application of technologies are in-themselves the primary feature of the project or exhibition|Infrastructure - (operations, archives) - ICT used for institutional, non-visitor facing applications such as databases and management systems|Communication - (website) - the project or application functions to convey, present or promote the activities of the project or institution",On Site - near objects and exhibits|On Site - in dedicated areas|Off Site - virtual visits|Off Site - not related to museum premises,Before the Visit - preparation prior to the visit|During the vist - enhancing visitor experience|After the Visit - to support or deepen understandings following the visit|Independent from the Visit - no relation to the visit ,Text|Audio|Image|Video|3D Models|Augmented Reality,,"Audience / Public - the application is outward facing, intended as an experience for the general public, or specific community groups|Curators / Librarians - technologies are used by curators, librarians or other institutional/organisational personnel|Institution / Organisation - the role of the project is to communicate between institutions/organisations, for example in the provision of a shared digital asset database.",,,,,Passive Content Consumption|Interaction with Contents|Individual interactions are networked in aggregate|Individual interaction are networked for social use|Individuals engage with each other socially,"1|5|individual|collective
",Performative (focused on making visitors acting something)|Reflective (focused on engaging visitors cognitively)|Immersive (focused on making visitors experience something)|Collaborative (focused on making visitors build knowledge together),1|5|object|virtual,1|5|tool|map,,"A unitary representation (monolithic)|A plural representation, mindful to multiple (and dissenting) voices of individuals|Both, with respect to different parts of the museum/exhibition/project|This aspect of the analysis is not significant for the present case","1) Multi-Cultural Storytelling - representing different cultures alongside but separate to one another|2) Inter-Cultural Dialog - highlight the interconnections amongst cultures|3) Trans-Cultural Practice - facilitates, allows and encourages multiple readings and parallel interpretations of cultural dynamics|4) A mix of 1) and 2)|5) A mix of 1) and 3)|6) A mix of 2) and 3)|7) A mix of 1), 2) and 3)|8) None of the above","People from the same cultures as those represented|People from different cultures as those represented|Both, with respect to different parts of the museum/exhibition/project|Not applicable","People from the same cultures as those represented|People from different cultures as those represented|Both, with respect to different parts of the museum/exhibition/project|Not applicable","Emphasis on the protection of the identity and memory of the culture/s represented (nationalism and patriotism)|Emphasis towards active reproduction or renegotiation of the identity and memory of the culture/s represented (more global and fluid)|Both, with respect to different parts of the museum/exhibition/project|This aspect of the analysis is not significant for the present case",Yes|No|Not Applicable,Yes|No|Not Applicable,1|5|transgressive|conservative
1336753661073.9,,Fri May 11 2012 18:27:41 GMT+0200 (CEST),,Marymount Manhattan College,United States of America,New York,Museum|College,Art,Contemporary Art,2005,http://mod.blogs.com/art_mobs/,CIID,CIID,,,Art Mobs,Contemporary Art,2005,Dr. David Gilbert,"http://mod.blogs.com/art_mobs/
http://spotlight.macfound.org/featured-stories/entry/art-mobs-strolling-moma-student-curators",,"Art Mobs explore the intersection of communication, art, and mobile technology. The MoMa project involved using podcasts to deliver unofficial audio tours of the gallery to its guests. Art Mobs is an ongoing project for Organizational Communication students in the Department of Communication Arts at Marymount Manhattan College. ","Interpretation - (curatorial tool, catalogue) - key function of technologies is to help in the exposition of existing informational platforms",On Site - near objects and exhibits,During the vist - enhancing visitor experience,Audio,,"Audience / Public - the application is outward facing, intended as an experience for the general public, or specific community groups","Art Mobs is of interest as an example of technology being used \'unofficially\' to experience an institution such as MoMa. Gilbert sees it as part of what Stanford Law Professor Lawrence Lessig calls \""Remix Culture\"". He describes how \'With recent advances in digital technologies, the ability to sample and remix has been democratized.\'","\'It may not be the most informative way to experience the art, but I feel lucky to have this renegade guide when I see two tourists struggling to share one of those oddly antiquated electronic wands bearing the museum’s authentic audio information ... I feel somewhat conflicted about this most modern way of seeing MoMa. Because while I likely would’ve learned more about the paintings had I taken the museum-issued tour, I don’t think I would’ve have had quite as much fun.\"" - http://spotlight.macfound.org/featured-stories/entry/art-mobs-strolling-moma-student-curators/ ","David Gilbert of Art Mobs: \'In a sentence, we are democratizing the experience of touring an art museum; we are offering a way for anyone to \""curate\"" their own little corner of MoMA ... The Art Mobs project is a way for students to make connections between the arts and new media technologies, and between traditional organizations and Remix Culture.\' ",,Passive Content Consumption,2,Reflective (focused on engaging visitors cognitively)|Immersive (focused on making visitors experience something),4,1,,,8) None of the above,Not applicable,Not applicable,This aspect of the analysis is not significant for the present case,Not Applicable,Yes,2
1336754993875.84,,Fri May 11 2012 18:49:53 GMT+0200 (CEST),, Edinburgh College of Art,United Kingdom,various,University,own treasred objects,own treasred objects,2010-2013,"http://www.ed.ac.uk/schools-departments/edinburgh-college-art
http://www.ucl.ac.uk/
http://www.brunel.ac.uk/
http://www.salford.ac.uk/
http://www.dundee.ac.uk/",CIID,CIID,,,Tales of Things,social history,2010-2013,"Dr Chris Speed, Edinburgh College of Art, Dr Maria Burke, University of Salford","http://talesofthings.com/
http://fields.eca.ac.uk/totem/",,"Tales of Things is part of a multi-university research project called TOTeM exploring social memory in the emerging culture of the Internet of Things. Tales of Things is a platform for users to add stories to their own treasred objects, using QR tags, and to connect to other people who share similar experiences. The aim is to provide future generations with a greater understanding of the objects\' past to preserve social history. The content is user-generated and will be geo-located on an online map through which objects can be tracked. The object will also be able to update previous owners on its progress through a live Twitter feed which will be unique to each object entered into the system.","Communication - (website) - the project or application functions to convey, present or promote the activities of the project or institution",Off Site - virtual visits|Off Site - not related to museum premises,During the vist - enhancing visitor experience,Text|Image,,"Audience / Public - the application is outward facing, intended as an experience for the general public, or specific community groups","This project takes everyday objects and treats them, their owners and their stories with as much interest as those traditionally curated inside a museum. It encourages users to be \'curators\' of their own collections and gives them a voice to share their experience. The website serves a dual function of cataloguing/tracking and social networking.",Users are enabled to connect to other people who share similar experiences - \'The project will offer a new way for people to place more value on their own objects in an increasingly disposable economy.\' ,"The project team wish to research - the social implications of using personal narratives based around objects to strengthen existing interpersonal and community links, and to create new ones - how does an online community develop from scratch, and how does it manage the relationship between the real and virtual worlds? - how can the TOTeM platform function as a means of interpersonal communication? - what are the methodological and ethical implications of research which attempts to transcend the boundary between the real and the virtual? -what types of memories do people want to share through objects? How do the objects created reflect this? - how does augmenting objects (both old and new) with electronic memories affect the perceived value of them? ",,Interaction with Contents,4,Reflective (focused on engaging visitors cognitively)|Immersive (focused on making visitors experience something),4,3,,"Both, with respect to different parts of the museum/exhibition/project",4) A mix of 1) and 2),"Both, with respect to different parts of the museum/exhibition/project","Both, with respect to different parts of the museum/exhibition/project",Emphasis towards active reproduction or renegotiation of the identity and memory of the culture/s represented (more global and fluid),Yes,Yes,2
1336755644774.66,,Fri May 11 2012 19:00:44 GMT+0200 (CEST),,University College London,United Kingdom,London,Museum|University,UCL Museums and Collections,Zoology & Egyptology,2011,http://www.ucl.ac.uk/,CIID,CIID,,,QRATOR,UCL Museums and Collections,2011,"Dr Claire Warwick, Dr Melissa Terras and Claire Ross, UCL Centre for Digital Humanities, and Dr Andrew Hudson-Smith, UCL Centre for Advanced Spatial Analysis","http://www.ucl.ac.uk/public-engagement/projects/innovation/Warwick
http://www.qrator.org/about-the-project/",,"QRATOR will use handheld mobile devices and interactive digital labels to enable public engagement in the University\'s museums. The QR code tags will link musem objects to an online database. Rather than passively viewing curated information, members of the public will be able to send back their own interpretation by mobile phone or label. Their comments will then be incorporated into the interpretation of the object to be viewed by other visitors. ","Communication - (website) - the project or application functions to convey, present or promote the activities of the project or institution",On Site - near objects and exhibits,During the vist - enhancing visitor experience,Text,,"Audience / Public - the application is outward facing, intended as an experience for the general public, or specific community groups",Uses tagging technology to bridge the cultural gap between the public and academic regarding museum objects.,The project intends to create a \'true forum for academic-public debate ... enabling the public to collaborate and discuss object interpretation with museum curators and academic researchers\'.,"Innovative public interaction that could result in visitors absorbing more information about exhibits and sharing insights with curators: \'Now that the iPads have been installed into the Grant, visits to the museum will be observed to discover how visitors interact and engage with the content. It is frequently voiced that visitors do not read labels; it will be interesting to observe if this is still the case when the visitors themselves are able to create and interact with the interpretive content.\'",,Interaction with Contents,4,Reflective (focused on engaging visitors cognitively)|Immersive (focused on making visitors experience something)|Collaborative (focused on making visitors build knowledge together),3,2,,"A plural representation, mindful to multiple (and dissenting) voices of individuals","3) Trans-Cultural Practice - facilitates, allows and encourages multiple readings and parallel interpretations of cultural dynamics",Not applicable,Not applicable,Emphasis towards active reproduction or renegotiation of the identity and memory of the culture/s represented (more global and fluid),Not Applicable,Yes,2
1336756700005.44,,Fri May 11 2012 19:18:20 GMT+0200 (CEST),,Denver Museum of Nature and Science ,United States of America,Denver,Museum,Natural Science,Science and Technology,2011,http://www.dmns.org/,CIID,CIID,,,Multitouch exhibit for 2-6 year olds,Natural Science,2011,"Ian Holtum, Multimedia and Technology Developer",http://openexhibits.org/accessibility/Designing-a-multitouch-exhibit-for-26-yearolds-with-Ian-Holtum/3105/,,"\""We wanted to allow the kids to use the same skills for actual painting on the digital table.\"" The Denver Museum of Nature and Science was already using multitouch tables and wanted to investigate how it would work in their new spaces. Holtum and his team spent a week building a prototype table and testing it with the public.","Interpretation - (curatorial tool, catalogue) - key function of technologies is to help in the exposition of existing informational platforms",On Site - in dedicated areas,During the vist - enhancing visitor experience,Image,Multitouch tables,"Audience / Public - the application is outward facing, intended as an experience for the general public, or specific community groups","The pilot of the multitouch table involved setting it up alongside a traditional drawing table for children an observing how usage differed. The pilot examined how the technology could encourage interaction between parents and children and between the children. The project identifies problems with multitouch technology, for example, the lack of association between actions on the table and a specific user.","Parents showed the kids the basics of the table, but the kids learned the advanced interactions themselves, and were better at using the table than their parents - the table encouraged co-operative play, though girls and boys interacted with it in different ways, with girls enjoying the social structure of play and boys the prescriptive nature of painting. - children would learn and then rush to tell their parents what they had learned - children would start with the actual paint then move to the digital table, which was a more social experience. Due to its novel nature, there was \'a learning aspect to talk about\', which encouraged interaction. ","In the future, the developers would like to create a table that is \'fully engaged with what the user is doing\' - seeing this as \'the ultimate goal for the best user experience\'. The table isn\'t fully engaged with what the user is doing. Solving that is what Mr. Holtum sees as the ultimate goal for the best user experience. ",,Individuals engage with each other socially,5,Immersive (focused on making visitors experience something)|Collaborative (focused on making visitors build knowledge together),2,2,,This aspect of the analysis is not significant for the present case,8) None of the above,Not applicable,Not applicable,This aspect of the analysis is not significant for the present case,Not Applicable,Not Applicable,2
1336758346384.15,,Fri May 11 2012 19:45:46 GMT+0200 (CEST),,The Manchester Museum,United Kingdom,Manchester,Museum,Natural Science,Science and Technology,2004,http://www.museum.manchester.ac.uk/,CIID,CIID,,,Collective Conversations,Natural Science,2004,Gurdeep Thiara,"http://www.museum.manchester.ac.uk/community/collectiveconversations/
http://www.youtube.com/watch?v=Q0WFSINOjCw
http://www.youtube.com/user/ManchesterMuseum",,"Collective Conversations is an award winning project that makes films about people’s encounters with objects from the Museum’s collections. The project is part of the Manchester Museum\'s way of working - involving a wide range of communities in intercultural dialogue in a unique process of identification, interpretation and documentation of collections. It has involved the Museum having \'conversations\' with a diverse range of groups and individuals, including local migrant communities, researchers, enthusiasts and academics. These people may have a personal interest in the objects, or may have had professional experience of them. The project opens up the Museum\'s stores, using objects not usually on display to the public. The films are available both on YouTube and in the Museum. The latest stage of the project has involved using video-conferencing to have international conversations. ","Interpretation - (curatorial tool, catalogue) - key function of technologies is to help in the exposition of existing informational platforms",On Site - near objects and exhibits,During the vist - enhancing visitor experience,Video,,"Audience / Public - the application is outward facing, intended as an experience for the general public, or specific community groups","The project uses film-making to engage the public with the museum\'s collections, opening them up to wider interpretations than those of the curators. This presents opportunities for greater intercultural understanding, as source communities are consulted about the meanings they associate with the objects. The Contact Zone, in which these films are made, is integrated into staff training and development, so that curators across all collection areas can continue the work of building-in community collaboration into the interpretation of all collections and exhibition and design staff may integrate the outputs into gallery development, temporary exhibitions and the Museum\'s website.","\'Community members can become actively engaged in the Museum\'s work, allowed to curate their own \""conversations\"" with objects, and ultimately invited to share in some of the responsibility for the collections and their interpretation.\'",\'Collective Conversations has helped the museum question the often over-simplistic assumption that a community will automatically be interested in objects that are specifically related to its own cultural heritage.\' ,,Interaction with Contents,2,Reflective (focused on engaging visitors cognitively)|Immersive (focused on making visitors experience something),4,2,,"A plural representation, mindful to multiple (and dissenting) voices of individuals","3) Trans-Cultural Practice - facilitates, allows and encourages multiple readings and parallel interpretations of cultural dynamics",Not applicable,Not applicable,Emphasis towards active reproduction or renegotiation of the identity and memory of the culture/s represented (more global and fluid),Not Applicable,Yes,2
1336759051699.52,,Fri May 11 2012 19:57:31 GMT+0200 (CEST),,Museum of Old and New Art (MoNA),Australia,Hobart,Museum,Art,"National, History and Art Museums|Contemporary Art",2011,http://mona.net.au/,CIID,CIID,,,The O,Old and New Art,2011,The O,"http://www.artshub.com.au/au/news-article/opinions/arts/tasmanias-museum-of-old-and-new-art-finally-opens-183180
http://www.cestchristine.com/2011/10/thank-you-david-walsh-the-mona-experience/
http://www.powerhousemuseum.com/openhouse/?p=177",,"Visitors to MoNA are provided with an iPod Touch with a MoNA branded case. There are no labels on the walls of the museum and The O is designed to provide access to information about the works of art. The device uses geolocation to position the user in the museum, before returning a list of nearby art works and thumbnails to click for more information. In addition to more traditional interpretation, The O also provides personal musings on the art from the museum\'s owner, and the opportunity for users to vote on whether they \'love\' or \'hate\' a piece of work. Using a password, visitors can re-access some of their \'tour\' on the website when they return home. ","Interpretation - (curatorial tool, catalogue) - key function of technologies is to help in the exposition of existing informational platforms",On Site - near objects and exhibits,During the vist - enhancing visitor experience,Text|Audio|Image|Video,,"Audience / Public - the application is outward facing, intended as an experience for the general public, or specific community groups",MoNA has completely replaced traditional wall labels with an iPod tour.,"\'Surprisingly, I caught myself glancing around for non-existent labels, like phantom limbs. It’s confronting to realise how ingrained my museum behaviours are, and it felt deliciously liberating to have them subverted.\' - http://makingconversation.wordpress.com/2011/03/30/the-o-in-mona/","The O seems to form part of the institution\'s ethos and attitude towards visitors, where they are encouraged to immerse themselves in the experience of being in the space and viewing the art. \'The O is MONA, is David Walsh, is David Walsh. Once you are through the looking-glass entrance, staff members demonstrate the O and we each take one. To find your way through the museum and make some sense out of the exhibits you need an O.\' - http://www.quadrant.org.au/magazine/issue/2011/4/mona-s-brutal-banality ",,Interaction with Contents,2,Reflective (focused on engaging visitors cognitively)|Immersive (focused on making visitors experience something),3,1,,This aspect of the analysis is not significant for the present case,8) None of the above,Not applicable,Not applicable,This aspect of the analysis is not significant for the present case,Not Applicable,Yes,2
1336759507691.82,,Fri May 11 2012 20:05:07 GMT+0200 (CEST),,Smithsonian American Art Museum,United States of America,Washington DC,Museum,Art,"National, History and Art Museums|Contemporary Art|American Art",2008,http://americanart.si.edu/,CIID,CIID,,,Ghosts of a Chance,American Art,2008,"Georgina Bath, Interpretive Programs Manager","http://www.americanart.si.edu/calendar/activities/ghosts/
http://www.ghostsofachance.com/
http://ghostsofachance.com/GhostsofaChance_Report2.pdf
http://www.washingtonpost.com/wp-dyn/content/article/2010/01/21/AR2010012101377.html",,"The first Alternate Reality Game (ARG) to be hosted by a museum, Ghosts of a Chance offered new and existing museum audiences an innovative way of engaging with the collection in its Luce Foundation Center for American Art, a visible storage facility that displays more than 3,300 artworks in floor-to-ceiling glass cases. As in other ARGs, players investigated the world of the game using the same tools with which they interact with the real world such as websites, email, telephone conversations and in-person discussions with actors playing game characters. The game contained two elements. The first, more obvious, element invited gamers to create objects and mail them to Museum \'curator\' characters. The \'game within a game\' involved uncovering clues to the narrative that linked the object. The result was a a series of six scavanger hunt quests involving 6,000 online players and 224 player on-site.",Featured - (exhibited) - novel or a novel application of technologies are in-themselves the primary feature of the project or exhibition,On Site - near objects and exhibits|Off Site - virtual visits,During the vist - enhancing visitor experience,Text|Audio|Image|Video,,"Audience / Public - the application is outward facing, intended as an experience for the general public, or specific community groups",The first museum-hosted Alternate Reality Game.,"Ghosts of a Chance engaged non-traditional museum audiences by beginning the game at an annual ARG event in Boston. Players were initially intrigued by the relationship between the Smithsonian and gaming. Once it was confirmed that the Smithsonian was involved, one player commented \'Finally someone who ‘gets it’\' while another added that supporting this venture could encourage further collaboration between museums and ARG: \' I think we should all participate since it’s a new idea for the museum. If they don’t get takers they probably won\'t repeat it. Let’s recruit for the new medium!” ","The goals were: - \'To get people talking about our museum, to get our name out there\' - the Smithsonian feels it definitely achieved this with a large amount of online and press buzz. - \'To bring a new audience into the museum.\' - This was partially achieved. The \'real life\' visitors to the final game were mainly existing museum visitors, but the game recruited a new online audience. - To encourage discovery and exploration of the collection. The Smithsonian feel this was definitely achieved. \'Every (onsite) player that we talked to commented on how this game introduced them to parts of the collection that they had never seen before or made them look at something in a new way.\' ",,Individuals engage with each other socially,4,Performative (focused on making visitors acting something)|Reflective (focused on engaging visitors cognitively)|Immersive (focused on making visitors experience something)|Collaborative (focused on making visitors build knowledge together),3,3,,This aspect of the analysis is not significant for the present case,8) None of the above,Not applicable,Not applicable,This aspect of the analysis is not significant for the present case,Yes,Yes,1
