ID,FIELD 04 - Exhibition Archives,Timestamp,General Institution / Organisation Information,Name of the Institution / Organisation,Country,City,Type,Field of Activity,Year the Exhibition was prepared,Year the Exhibition was held,Links,Principal Partner,Interested Partner,Links - for partners only,"FIELD 04 - Description of the exhibition archive of your institution
",Does your institution preserve documentation related to past exhibitions?,Documentation period,Reason for no documentation,Type of preserved documents,"What is the department or area, in your institution, in charge of gathering and preserving this archive?","Please, indicate the name and e-mail address of the person in charge of your exhibition archive:",What is the name by which you refer to this group of documents?," Please, describe in a few lines the contents, aims and status of your exhibition archive: ","How many people from your staff work in the preservation of your exhibition archive? Please, if this is not a full time task, indicate the percentage of hours that the persons in charge devote to this archive, in relation to their full time dedication",What period of time does your exhibition archive encompass?,What are the main parameters that define the structure you are giving to your exhibition archive:,"Have you developed a classification chart that describes the structure of your exhibition archive? If so, is it available for our consultation?","Have you developed any of these, in relation to your exhibition archive?","If so, are they available for our consultation?",What norm or standard set of rules do you use for the description of your exhibition archive? I.e. RAD – Rules for Archival Description,"Please, indicate the approximate number of linear meters of shelves that your exhibition archive comprises:","Please, indicate what database you use for the description of records belonging to your exhibition archive, i.e. FileMaker Pro.","Please, indicate the current number of records in this database","Always in relation to the exhibition archive of your institution, please indicate the approximate number of records, and / or the approximate percentage in relation to the total number of records, that are available online:","As well as the approximate number of records, and / or the approximate percentage in relation to the total number of records, that have been digitized:","Please, indicate by order of importance which of these processes you would like to develop first, if you would have enough resources: ","And finally, please leave any comment you may deem relevant in relation to your exhibition archive, which may help us understand better the scope and status of your exhibition archive, as well as wishes, aims etc. that are outside of the frame of our questions below. "
,"The following questions are intended to gather information about the archival traces of past exhibitions preserved in your institution, as well as the way they are organized and made available for consultation. You can either answer all of them, or leave out any of them in case you do not have the data that we are requesting. Thanks so much for you help!!
",,,,,,,,"For exhibitions, year in which the exhibition was design and set up. For Museums, Archives and Cultural Institutions, year in which the museum/cultural institution was established.","For exhibitions, year in which the exhibition was held. This could, of course, be the same as the year the exhibition was prepared.",Online references to the Museum.,Partner who input the case,Partner who is interested in the case,For MeLA internal use,,,If you answered YES in the previous question write the year since when you preserve this documentation.,If you answered NO in the first question of this section please explain why you don't keep any documentation,"Please, indicate what sorts of documents are preserved in this archival group.",,,,,,From ……. ….. to …. …… / the present / etc.,,,,,,,,,,,,
ID,,DATE,,TEXTFIELD,COUNTRYLIST,TEXTFIELD,CHECKBOX,CHECKBOX,TEXTFIELD,TEXTFIELD,TEXTAREA,LIST,LIST,TEXTAREA,,RADIO,TEXTFIELD,TEXTAREA,CHECKBOX,RADIO,TEXTAREA,RADIO,TEXTAREA,TEXTAREA,TEXTFIELD,RADIO,TEXTAREA,CHECKBOX,TEXTAREA,TEXTFIELD,TEXTFIELD,TEXTFIELD,TEXTFIELD,TEXTFIELD,TEXTFIELD,CHECKBOX,TEXTAREA
,,,,,,,Archive|Cultural Institution|Exhibition|Museum|Other:,Art|Archeology|History|Ethnography|Science|Other:,,,,MACBA|CIID|CNR|GU|MHNH|POLIMI|RCA|UNEW|UNO|N/A,MACBA|CIID|CNR|GU|MHNH|POLIMI|RCA|UNEW|UNO|N/A,,,YES|NO,,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Photographs of installation process|Video recordings of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Exhibition plans ""as built""|Non-final versions of exhibition plans|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Draft materials for book or catalogue, i.e. non-final versions of texts, non-final versions of book layout, etc.|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Hanging files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.|Other (please, specify):",Archive|Library|Administration|Study Center|Other:,,Central archive|Institutional archive|Museum archive|Museum records|Exhibition records|Other:,,,,"Source or producer (dept, etc.)|Format and conservation (texts / analogical photographs / plans / digital photographs / …)|Other:",,Finding aid|Inventory|On line catalogue or database|Index|Other:,Finding aid|Inventory|On line catalogue or database|Index|Other:,,,,,,,"Dissemination online of contents of the exhibition archive|Archival description of records reaching the smallest units|Digitization of analogical records, and improvement of preservation policies (refreshing)|Inclusion in the exhibition archive of internal documents related to the process of production|Other:",
1334907658834.63,,Fri Apr 20 09:40:58 UTC+0200 2012,,ARKEN Museum of Modern Art,Denmark,Ishoj,Museum,Art,1994,1996,,MACBA,MACBA,,,YES,1996,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Photographs of installation process|Press release materials (texts, photos, videos handed to the press)|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Exhibition plans \""as built\""|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Other:,,Museum records,,,From 1´first exhibitin in 1996 till now,Other:,,Other:,,,900m,,,,,"Digitization of analogical records, and improvement of preservation policies (refreshing)",
1334909857425.14,,Fri Apr 20 2012 10:17:37 GMT+0200 (CEST),,LABoral Centro de Arte y Creación Industrial,Spain,Gijón,,Art|Technology,2007,,,MACBA,MACBA,,,YES,2007,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Photographs of installation process|Video recordings of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Exhibition plans \""as built\""|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Insurance files related to each exhibition|Transport files related to each exhibition|Hanging files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Archive,,Museum archive,,,2007 to present ,Format and conservation (texts / analogical photographs / plans / digital photographs / …),,Index,,,,FileMajer Pro,21,15,,Dissemination online of contents of the exhibition archive,
1334928573720.63,,Fri Apr 20 2012 09:29:33 GMT-0400 (EDT),,"Wallah Art Gallery, Columbia University",United States of America,New York,University Art Gallery,Art,all exhibitions,,,N/A,N/A,,,YES,1990,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Non-final versions of exhibition plans|Book or catalogue issued on occasion of each exhibition|Condition reports of works or items exhibited, issued by Restauration experts|Transport files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.|QTVRS of exhibition",Gallery staff,,Exhibition records,,,1989 to present,,,,,,,,,,,,
1334936378867.23,,Fri Apr 20 2012 17:39:38 GMT+0200,,Kunsthaus Zürich,Switzerland,Zürich,Museum,Art,1910,,,MACBA,MACBA,,,YES,1910,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Drafts of work- or item- lists to be exhibited|Book or catalogue issued on occasion of each exhibition|Insurance files related to each exhibition|Transport files related to each exhibition|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Library,,Museum archive,,,1910 to present,Format and conservation (texts / analogical photographs / plans / digital photographs / …),,Finding aid|Inventory,,No standard,250 m,textfiles,,,,"Digitization of analogical records, and improvement of preservation policies (refreshing)|Preservation of the originals, complete cataloging",
1334951177614.31,,Fri Apr 20 15:46:17 EDT 2012,,The Metropolitan Museum of Art,United States of America,New York,Museum,Art,1870,1870,,N/A,N/A,,,YES,1870-present,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Insurance files related to each exhibition|Transport files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show",Archive,,Museum archive,,,1870-present,"Source or producer (dept, etc.)",,In-house MS Access db,,"DACS, APPM",60,"MS Access, Archivists Toolkit",,0,0,Dissemination online of contents of the exhibition archive,
1335300112021.71,,Tue Apr 24 2012 16:41:52 GMT-0400 (BOT),,KIOSKO Galeria,Bolivia,Santa Cruz,Contemporary Art Space,Art|Design,2006,,,MACBA,MACBA,,,YES,2006,,"Photographs of the exhibition as installed|Media clippings related to each exhibition|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.","KIOSKO, are 4 persons in total, there are no departments",,Archive activities,,,2006-present,Little human and financial resources,,Website in development,,no rules,4 m,no database,we don\'t know,95%,,"Start real classification and database system, to archive digitally artists, residens and their work",
1335303354448.37,,Tue Apr 24 2012 15:35:54 GMT-0600 (CST),,Museo de Arte y Diseño Contemporáneo -MADC-,Costa Rica,San José,Museum,Art,1994,1994,,MACBA,MACBA,,,YES,1994,,"Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Photographs of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Book or catalogue issued on occasion of each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show",,,Museum archive,,,From 1994 to the present,"Source or producer (dept, etc.)",,On line catalogue or database,,We don\'t use any,3 meters,"We do not have a database for this, we use the museum web site",,95 records for the exhibitions aprox 100%,,Dissemination online of contents of the exhibition archive,
1335343768107.73,,Wed Apr 25 10:49:28 UTC+0200 2012,,Van Abbemuseum,Netherlands,Eindhoven,Museum,Art,1936,,,MACBA,MACBA,,,YES,1936,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Photographs of installation process|Video recordings of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Exhibition plans \""as built\""|Non-final versions of exhibition plans|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Draft materials for book or catalogue, i.e. non-final versions of texts, non-final versions of book layout, etc.|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Hanging files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Library,,Museum archive,,,1936-present,Format and conservation (texts / analogical photographs / plans / digital photographs / …),,Inventory,,UDC / Archive code,100 mtr. ; 1900 exhibitions,Vubis,approximate : 1600,1600,1000,"Digitization of analogical records, and improvement of preservation policies (refreshing)|Inclusion in the exhibition archive of internal documents related to the process of production",
1335354754897.68,,Wed Apr 25 13:52:34 UTC+0200 2012,,"IVAM, Institut Valencià d\'Art Modern - Library",Spain,Valencia,Museum,Art,1989,1989,,MACBA,MACBA,,,YES,1985,,"Video recordings of the exhibition as installed|Video recordings of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition",Library,,Museum archive,,,from 1985 to the present,Format and conservation (texts / analogical photographs / plans / digital photographs / …),,On line catalogue or database,,ISBD,115 m.,ABSYS,1400,1400,410,"Digitization of analogical records, and improvement of preservation policies (refreshing)",
1335431653093.43,,Thu Apr 26 2012 11:14:13 GMT+0200,,Kunstsammlung Nordrhein-Westfalen,Germany,Duesseldorf,Museum,Art,1961,1962,,MACBA,MACBA,,,YES,1984 ca.,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Photographs of installation process|Press release materials (texts, photos, videos handed to the press)|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Condition reports of works or items exhibited, issued by Restauration experts|Documents related to the educational activities programmed on occasion of each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.","Administration, Archive and Library and more",,,,,,,,,,,,,,,,,
1335438181508.28,,Thu Apr 26 2012 13:03:01 GMT+0200 (Hora de verano romance),,"Centre de Cultura Contemporània de Barcelona, CCCB",Spain,Barcelona,Cultural Institution,Art|City; Contemporary Culture,,,,MACBA,MACBA,,,YES,1994,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Photographs of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Exhibition plans \""as built\""|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show",Archive,,Institutional archive,,,From 1994 to the present,Activities,,On line catalogue or database,,---,,Self developed CMS,9000,5%,90%,Dissemination online of contents of the exhibition archive,
1335628788745.59,,Sat Apr 28 2012 17:59:48 GMT+0200 (CEST),,Homesession,Spain,Barcelona,independant art space,Art,,,,N/A,MACBA,,,YES,2007,,"Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Photographs of installation process|Press release materials (texts, photos, videos handed to the press)|Final list of works or items exhibited in each show|Book or catalogue issued on occasion of each exhibition|Administrative documents, such as invoices, insurance certificates, contracts, etc.",nospecific departement,,archive,,,2007 till present,"Source or producer (dept, etc.)",,,,,half meter,,,,,,
1336047345885.28,,Thu May 03 2012 14:15:45 GMT+0200 (CEST),,Museum of Contemporary Art,Denmark,Roskilde,Exhibition|Museum,Art,1991,,,MACBA,MACBA,,,YES,1990,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Photographs of installation process|Press release materials (texts, photos, videos handed to the press)|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",,,Museum archive,,,1990 - ,,,,,,12,,,,,"Digitization of analogical records, and improvement of preservation policies (refreshing)",
1336115030247.93,,Fri May 4 09:03:50 UTC+0200 2012,,Escola Massana,Spain,Barcelona,Other:,Art,1929,,,MACBA,MACBA,,,YES,1929,,"Photographs of the exhibition as installed|Press release materials (texts, photos, videos handed to the press)|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition",Archive,,Museum archive,,,a month or 15 days,Format and conservation (texts / analogical photographs / plans / digital photographs / …),,Inventory,,,,,,,,Archival description of records reaching the smallest units,
